% time	cellId	IMSI	RNTI	rsrp	sinr
0.0992143	1	1	1	1.87624e-08	3.95546e+07
0.100214	1	1	1	1.87829e-08	3.95979e+07
0.101214	1	1	1	1.88035e-08	3.96412e+07
0.102214	1	1	1	1.88241e-08	3.96846e+07
0.103214	1	1	1	1.88447e-08	3.97281e+07
0.104214	1	1	1	1.88653e-08	3.97716e+07
0.105214	1	1	1	1.8886e-08	3.98152e+07
0.106214	1	1	1	1.89067e-08	3.98589e+07
0.107214	1	1	1	1.89275e-08	3.99026e+07
0.108214	1	1	1	1.89483e-08	3.99464e+07
0.109214	1	1	1	1.89691e-08	3.99903e+07
0.110214	1	1	1	1.89899e-08	4.00343e+07
0.111214	1	1	1	1.90108e-08	4.00783e+07
0.112214	1	1	1	1.90317e-08	4.01224e+07
0.113214	1	1	1	1.90527e-08	4.01666e+07
0.114214	1	1	1	1.90737e-08	4.02108e+07
0.115214	1	1	1	1.90947e-08	4.02551e+07
0.116214	1	1	1	1.91157e-08	4.02995e+07
0.117214	1	1	1	1.91368e-08	4.0344e+07
0.118214	1	1	1	1.9158e-08	4.03885e+07
0.119214	1	1	1	1.91791e-08	4.04331e+07
0.120214	1	1	1	1.92003e-08	4.04778e+07
0.121214	1	1	1	1.92215e-08	4.05226e+07
0.122214	1	1	1	1.92428e-08	4.05674e+07
0.123214	1	1	1	1.92641e-08	4.06123e+07
0.124214	1	1	1	1.92854e-08	4.06573e+07
0.125214	1	1	1	1.93068e-08	4.07023e+07
0.126214	1	1	1	1.93282e-08	4.07474e+07
0.127214	1	1	1	1.93496e-08	4.07926e+07
0.128214	1	1	1	1.93711e-08	4.08379e+07
0.129214	1	1	1	1.93926e-08	4.08833e+07
0.130214	1	1	1	1.94142e-08	4.09287e+07
0.131214	1	1	1	1.94358e-08	4.09742e+07
0.132214	1	1	1	1.94574e-08	4.10197e+07
0.133214	1	1	1	1.9479e-08	4.10654e+07
0.134214	1	1	1	1.95007e-08	4.11111e+07
0.135214	1	1	1	1.95224e-08	4.11569e+07
0.136214	1	1	1	1.95442e-08	4.12028e+07
0.137214	1	1	1	1.9566e-08	4.12487e+07
0.138214	1	1	1	1.95878e-08	4.12947e+07
0.139214	1	1	1	1.96097e-08	4.13408e+07
0.140214	1	1	1	1.96316e-08	4.1387e+07
0.141214	1	1	1	1.96535e-08	4.14332e+07
0.142214	1	1	1	1.96755e-08	4.14796e+07
0.143214	1	1	1	1.96975e-08	4.1526e+07
0.144214	1	1	1	1.97195e-08	4.15724e+07
0.145214	1	1	1	1.97416e-08	4.1619e+07
0.146214	1	1	1	1.97637e-08	4.16656e+07
0.147214	1	1	1	1.97859e-08	4.17123e+07
0.148214	1	1	1	1.98081e-08	4.17591e+07
0.149214	1	1	1	1.98303e-08	4.1806e+07
0.150214	1	1	1	1.98526e-08	4.18529e+07
0.151214	1	1	1	1.98749e-08	4.18999e+07
0.152214	1	1	1	1.98972e-08	4.1947e+07
0.153214	1	1	1	1.99196e-08	4.19942e+07
0.154214	1	1	1	1.9942e-08	4.20415e+07
0.155214	1	1	1	1.99645e-08	4.20888e+07
0.156214	1	1	1	1.9987e-08	4.21362e+07
0.157214	1	1	1	2.00095e-08	4.21837e+07
0.158214	1	1	1	2.0032e-08	4.22313e+07
0.159214	1	1	1	2.00546e-08	4.22789e+07
0.160214	1	1	1	2.00773e-08	4.23266e+07
0.161214	1	1	1	2.01e-08	4.23744e+07
0.162214	1	1	1	2.01227e-08	4.24223e+07
0.163214	1	1	1	2.01454e-08	4.24703e+07
0.164214	1	1	1	2.01682e-08	4.25183e+07
0.165214	1	1	1	2.0191e-08	4.25665e+07
0.166214	1	1	1	2.02139e-08	4.26147e+07
0.167214	1	1	1	2.02368e-08	4.2663e+07
0.168214	1	1	1	2.02598e-08	4.27113e+07
0.169214	1	1	1	2.02827e-08	4.27598e+07
0.170214	1	1	1	2.03058e-08	4.28083e+07
0.171214	1	1	1	2.03288e-08	4.28569e+07
0.172214	1	1	1	2.03519e-08	4.29056e+07
0.173214	1	1	1	2.03751e-08	4.29544e+07
0.174214	1	1	1	2.03982e-08	4.30033e+07
0.175214	1	1	1	2.04215e-08	4.30522e+07
0.176214	1	1	1	2.04447e-08	4.31012e+07
0.177214	1	1	1	2.0468e-08	4.31503e+07
0.178214	1	1	1	2.04913e-08	4.31995e+07
0.179214	1	1	1	2.05147e-08	4.32488e+07
0.180214	1	1	1	2.05381e-08	4.32981e+07
0.181214	1	1	1	2.05616e-08	4.33476e+07
0.182214	1	1	1	2.05851e-08	4.33971e+07
0.183214	1	1	1	2.06086e-08	4.34467e+07
0.184214	1	1	1	2.06321e-08	4.34964e+07
0.185214	1	1	1	2.06558e-08	4.35462e+07
0.186214	1	1	1	2.06794e-08	4.3596e+07
0.187214	1	1	1	2.07031e-08	4.3646e+07
0.188214	1	1	1	2.07268e-08	4.3696e+07
0.189214	1	1	1	2.07506e-08	4.37461e+07
0.190214	1	1	1	2.07744e-08	4.37963e+07
0.191214	1	1	1	2.07983e-08	4.38466e+07
0.192214	1	1	1	2.08221e-08	4.38969e+07
0.193214	1	1	1	2.08461e-08	4.39474e+07
0.194214	1	1	1	2.087e-08	4.39979e+07
0.195214	1	1	1	2.08941e-08	4.40485e+07
0.196214	1	1	1	2.09181e-08	4.40992e+07
0.197214	1	1	1	2.09422e-08	4.415e+07
0.198214	1	1	1	2.09663e-08	4.42009e+07
0.199214	1	1	1	2.09905e-08	4.42519e+07
0.200214	1	1	1	2.10147e-08	4.43029e+07
0.201214	1	1	1	2.1039e-08	4.43541e+07
0.202214	1	1	1	2.10633e-08	4.44053e+07
0.203214	1	1	1	2.10876e-08	4.44566e+07
0.204214	1	1	1	2.1112e-08	4.4508e+07
0.205214	1	1	1	2.11364e-08	4.45595e+07
0.206214	1	1	1	2.11609e-08	4.46111e+07
0.207214	1	1	1	2.11854e-08	4.46628e+07
0.208214	1	1	1	2.121e-08	4.47145e+07
0.209214	1	1	1	2.12345e-08	4.47663e+07
0.210214	1	1	1	2.12592e-08	4.48183e+07
0.211214	1	1	1	2.12839e-08	4.48703e+07
0.212214	1	1	1	2.13086e-08	4.49224e+07
0.213214	1	1	1	2.13333e-08	4.49746e+07
0.214214	1	1	1	2.13581e-08	4.50269e+07
0.215214	1	1	1	2.1383e-08	4.50793e+07
0.216214	1	1	1	2.14079e-08	4.51317e+07
0.217214	1	1	1	2.14328e-08	4.51843e+07
0.218214	1	1	1	2.14578e-08	4.5237e+07
0.219214	1	1	1	2.14828e-08	4.52897e+07
0.220214	1	1	1	2.15078e-08	4.53425e+07
0.221214	1	1	1	2.15329e-08	4.53954e+07
0.222214	1	1	1	2.15581e-08	4.54485e+07
0.223214	1	1	1	2.15833e-08	4.55016e+07
0.224214	1	1	1	2.16085e-08	4.55548e+07
0.225214	1	1	1	2.16338e-08	4.5608e+07
0.226214	1	1	1	2.16591e-08	4.56614e+07
0.227214	1	1	1	2.16845e-08	4.57149e+07
0.228214	1	1	1	2.17099e-08	4.57685e+07
0.229214	1	1	1	2.17353e-08	4.58221e+07
0.230214	1	1	1	2.17608e-08	4.58759e+07
0.231214	1	1	1	2.17864e-08	4.59297e+07
0.232214	1	1	1	2.1812e-08	4.59836e+07
0.233214	1	1	1	2.18376e-08	4.60377e+07
0.234214	1	1	1	2.18633e-08	4.60918e+07
0.235214	1	1	1	2.1889e-08	4.6146e+07
0.236214	1	1	1	2.19147e-08	4.62003e+07
