% time	cellId	IMSI	RNTI	sinrLinear
0.041	1	1	1	1.76517e+06
0.042	1	2	2	1.76517e+06
0.081	1	1	1	1.76517e+06
0.082	1	2	2	1.76517e+06
0.121	1	1	1	1.76517e+06
0.122	1	2	2	1.76517e+06
0.161	1	1	1	1.76517e+06
0.162	1	2	2	1.76517e+06
0.201	1	1	1	1.76517e+06
0.202	1	2	2	1.76517e+06
0.241	1	1	1	1.76517e+06
0.242	1	2	2	1.76517e+06
0.281	1	1	1	1.76517e+06
0.282	1	2	2	1.76517e+06
0.321	1	1	1	1.76517e+06
0.322	1	2	2	1.76517e+06
0.361	1	1	1	1.76517e+06
0.362	1	2	2	1.76517e+06
0.401	1	1	1	1.76517e+06
0.402	1	2	2	1.76517e+06
0.441	1	1	1	1.76517e+06
0.442	1	2	2	1.76517e+06
0.481	1	1	1	1.76517e+06
0.482	1	2	2	1.76517e+06
0.521	1	1	1	1.76517e+06
0.522	1	2	2	1.76517e+06
0.561	1	1	1	1.76517e+06
0.562	1	2	2	1.76517e+06
0.601	1	1	1	1.76517e+06
0.602	1	2	2	1.76517e+06
0.641	1	1	1	1.76517e+06
0.642	1	2	2	1.76517e+06
0.681	1	1	1	1.76517e+06
0.682	1	2	2	1.76517e+06
0.721	1	1	1	1.76517e+06
0.722	1	2	2	1.76517e+06
0.761	1	1	1	1.76517e+06
0.762	1	2	2	1.76517e+06
0.801	1	1	1	1.76517e+06
0.802	1	2	2	1.76517e+06
0.841	1	1	1	1.76517e+06
0.842	1	2	2	1.76517e+06
0.881	1	1	1	1.76517e+06
0.882	1	2	2	1.76517e+06
0.921	1	1	1	1.76517e+06
0.922	1	2	2	1.76517e+06
0.961	1	1	1	1.76517e+06
0.962	1	2	2	1.76517e+06
