% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi
67	1	2	14	0	28	277	0	1
67	1	5	1	0	28	277	0	1
67	1	11	16	0	28	277	0	1
67	1	12	2	0	28	277	0	1
67	1	13	4	0	28	277	0	1
67	1	14	15	0	28	277	0	1
67	1	20	13	0	28	277	0	1
68	1	6	39	0	28	277	0	1
69	1	1	3	0	28	277	0	1
69	1	4	42	0	28	277	0	1
69	1	5	1	0	28	277	0	1
69	1	8	43	0	28	277	0	1
69	1	12	2	0	28	277	0	1
69	1	13	4	0	28	277	0	1
69	1	15	45	0	28	277	0	1
69	1	16	44	0	28	277	0	1
70	1	2	14	0	28	277	0	1
70	1	11	16	0	28	277	0	1
70	1	14	15	0	28	277	0	1
70	1	20	13	0	28	277	0	1
71	1	4	42	0	28	277	0	1
71	1	6	39	0	28	277	0	1
71	1	8	43	0	28	277	0	1
71	1	15	45	0	28	277	0	1
71	1	16	44	0	28	277	0	1
72	1	1	3	0	28	277	0	1
72	1	2	14	0	28	277	0	1
72	1	5	1	0	28	277	0	1
72	1	11	16	0	28	277	0	1
72	1	12	2	0	28	277	0	1
72	1	13	4	0	28	277	0	1
72	1	14	15	0	28	277	0	1
72	1	20	13	0	28	277	0	1
73	1	6	39	0	28	277	0	1
73	1	17	27	0	28	277	0	1
74	1	1	3	0	28	277	0	1
74	1	4	42	0	28	277	0	1
74	1	5	1	0	28	277	0	1
74	1	8	43	0	28	277	0	1
74	1	12	2	0	28	277	0	1
74	1	13	4	0	28	277	0	1
74	1	15	45	0	28	277	0	1
74	1	16	44	0	28	277	0	1
75	1	2	14	0	28	277	0	1
75	1	3	29	0	28	277	0	1
75	1	11	16	0	28	277	0	1
75	1	14	15	0	28	277	0	1
75	1	17	27	0	28	277	0	1
75	1	19	28	0	28	277	0	1
75	1	20	13	0	28	277	0	1
76	1	4	42	0	28	277	0	1
76	1	6	39	0	28	277	0	1
76	1	8	43	0	28	277	0	1
76	1	15	45	0	28	277	0	1
76	1	16	44	0	28	277	0	1
77	1	1	3	0	28	277	0	1
77	1	2	14	0	28	277	0	1
77	1	5	1	0	28	277	0	1
77	1	11	16	0	28	277	0	1
77	1	12	2	0	28	277	0	1
77	1	13	4	0	28	277	0	1
77	1	14	15	0	28	277	0	1
77	1	20	13	0	28	277	0	1
78	1	3	29	0	28	277	0	1
78	1	6	39	0	28	277	0	1
78	1	17	27	0	28	277	0	1
78	1	18	30	0	28	277	0	1
78	1	19	28	0	28	277	0	1
79	1	1	3	0	28	277	0	1
79	1	4	42	0	28	277	0	1
79	1	5	1	0	28	277	0	1
79	1	8	43	0	28	277	0	1
79	1	12	2	0	28	277	0	1
79	1	13	4	0	28	277	0	1
79	1	15	45	0	28	277	0	1
79	1	16	44	0	28	277	0	1
80	1	2	14	0	28	277	0	1
80	1	3	29	0	28	277	0	1
80	1	11	16	0	28	277	0	1
80	1	14	15	0	28	277	0	1
80	1	17	27	0	28	277	0	1
80	1	18	30	0	28	277	0	1
80	1	19	28	0	28	277	0	1
80	1	20	13	0	28	277	0	1
81	1	4	42	0	28	277	0	1
81	1	6	39	0	28	277	0	1
81	1	8	43	0	28	277	0	1
81	1	15	45	0	28	277	0	1
81	1	16	44	0	28	277	0	1
82	1	1	3	0	28	277	0	1
82	1	2	14	0	28	277	0	1
82	1	5	1	0	28	277	0	1
82	1	11	16	0	28	277	0	1
82	1	12	2	0	28	277	0	1
82	1	13	4	0	28	277	0	1
82	1	14	15	0	28	277	0	1
82	1	20	13	0	28	277	0	1
83	1	3	29	0	28	277	0	1
83	1	6	39	0	28	277	0	1
83	1	9	36	0	28	277	0	1
83	1	10	37	0	28	277	0	1
83	1	17	27	0	28	277	0	1
83	1	18	30	0	28	277	0	1
83	1	19	28	0	28	277	0	1
84	1	1	3	0	28	277	0	1
84	1	4	42	0	28	277	0	1
84	1	5	1	0	28	277	0	1
84	1	8	43	0	28	277	0	1
84	1	12	2	0	28	277	0	1
84	1	13	4	0	28	277	0	1
84	1	15	45	0	28	277	0	1
84	1	16	44	0	28	277	0	1
85	1	2	14	0	28	277	0	1
85	1	3	29	0	28	277	0	1
85	1	11	16	0	28	277	0	1
85	1	14	15	0	28	277	0	1
85	1	17	27	0	28	277	0	1
85	1	18	30	0	28	277	0	1
85	1	19	28	0	28	277	0	1
85	1	20	13	0	28	277	0	1
86	1	4	42	0	28	277	0	1
86	1	6	39	0	28	277	0	1
86	1	7	38	0	28	277	0	1
86	1	8	43	0	28	277	0	1
86	1	9	36	0	28	277	0	1
86	1	10	37	0	28	277	0	1
86	1	15	45	0	28	277	0	1
86	1	16	44	0	28	277	0	1
87	1	1	3	0	28	277	0	1
87	1	2	14	0	28	277	0	1
87	1	5	1	0	28	277	0	1
87	1	11	16	0	28	277	0	1
87	1	12	2	0	28	277	0	1
87	1	13	4	0	28	277	0	1
87	1	14	15	0	28	277	0	1
87	1	20	13	0	28	277	0	1
88	1	3	29	0	28	277	0	1
88	1	6	39	0	28	277	0	1
88	1	7	38	0	28	277	0	1
88	1	9	36	0	28	277	0	1
88	1	10	37	0	28	277	0	1
88	1	17	27	0	28	277	0	1
88	1	18	30	0	28	277	0	1
88	1	19	28	0	28	277	0	1
89	1	1	3	0	28	277	0	1
89	1	4	42	0	28	277	0	1
89	1	5	1	0	28	277	0	1
89	1	8	43	0	28	277	0	1
89	1	12	2	0	28	277	0	1
89	1	13	4	0	28	277	0	1
89	1	15	45	0	28	277	0	1
89	1	16	44	0	28	277	0	1
90	1	2	14	0	28	277	0	1
90	1	3	29	0	28	277	0	1
90	1	11	16	0	28	277	0	1
90	1	14	15	0	28	277	0	1
90	1	17	27	0	28	277	0	1
90	1	18	30	0	28	277	0	1
90	1	19	28	0	28	277	0	1
90	1	20	13	0	28	277	0	1
91	1	4	42	0	28	277	0	1
91	1	6	39	0	28	277	0	1
91	1	7	38	0	28	277	0	1
91	1	8	43	0	28	277	0	1
91	1	9	36	0	28	277	0	1
91	1	10	37	0	28	277	0	1
91	1	15	45	0	28	277	0	1
91	1	16	44	0	28	277	0	1
92	1	1	3	0	28	277	0	1
92	1	2	14	0	28	277	0	1
92	1	5	1	0	28	277	0	1
92	1	11	16	0	28	277	0	1
92	1	12	2	0	28	277	0	1
92	1	13	4	0	28	277	0	1
92	1	14	15	0	28	277	0	1
92	1	20	13	0	28	277	0	1
93	1	3	29	0	28	277	0	1
93	1	6	39	0	28	277	0	1
93	1	7	38	0	28	277	0	1
93	1	9	36	0	28	277	0	1
93	1	10	37	0	28	277	0	1
93	1	17	27	0	28	277	0	1
93	1	18	30	0	28	277	0	1
93	1	19	28	0	28	277	0	1
94	1	1	3	0	28	277	0	1
94	1	4	42	0	28	277	0	1
94	1	5	1	0	28	277	0	1
94	1	8	43	0	28	277	0	1
94	1	12	2	0	28	277	0	1
94	1	13	4	0	28	277	0	1
94	1	15	45	0	28	277	0	1
94	1	16	44	0	28	277	0	1
95	1	2	14	0	28	277	0	1
95	1	3	29	0	28	277	0	1
95	1	11	16	0	28	277	0	1
95	1	14	15	0	28	277	0	1
95	1	17	27	0	28	277	0	1
95	1	18	30	0	28	277	0	1
95	1	19	28	0	28	277	0	1
95	1	20	13	0	28	277	0	1
96	1	4	42	0	28	277	0	1
96	1	6	39	0	28	277	0	1
96	1	7	38	0	28	277	0	1
96	1	8	43	0	28	277	0	1
96	1	9	36	0	28	277	0	1
96	1	10	37	0	28	277	0	1
96	1	15	45	0	28	277	0	1
96	1	16	44	0	28	277	0	1
97	1	1	3	0	28	277	0	1
97	1	2	14	0	28	277	0	1
97	1	5	1	0	28	277	0	1
97	1	11	16	0	28	277	0	1
97	1	12	2	0	28	277	0	1
97	1	13	4	0	28	277	0	1
97	1	14	15	0	28	277	0	1
97	1	20	13	0	28	277	0	1
98	1	3	29	0	28	277	0	1
98	1	6	39	0	28	277	0	1
98	1	7	38	0	28	277	0	1
98	1	9	36	0	28	277	0	1
98	1	10	37	0	28	277	0	1
98	1	17	27	0	28	277	0	1
98	1	18	30	0	28	277	0	1
98	1	19	28	0	28	277	0	1
99	1	1	3	0	28	277	0	1
99	1	4	42	0	28	277	0	1
99	1	5	1	0	28	277	0	1
99	1	8	43	0	28	277	0	1
99	1	12	2	0	28	277	0	1
99	1	13	4	0	28	277	0	1
99	1	15	45	0	28	277	0	1
99	1	16	44	0	28	277	0	1
100	1	2	14	0	28	277	0	1
100	1	3	29	0	28	277	0	1
100	1	11	16	0	28	277	0	1
100	1	14	15	0	28	277	0	1
100	1	17	27	0	28	277	0	1
100	1	18	30	0	28	277	0	1
100	1	19	28	0	28	277	0	1
100	1	20	13	0	28	277	0	1
101	1	4	42	0	28	277	0	1
101	1	6	39	0	28	277	0	1
101	1	7	38	0	28	277	0	1
101	1	8	43	0	28	277	0	1
101	1	9	36	0	28	277	0	1
101	1	10	37	0	28	277	0	1
101	1	15	45	0	28	277	0	1
101	1	16	44	0	28	277	0	1
102	1	1	3	0	28	277	0	1
102	1	2	14	0	28	277	0	1
102	1	5	1	0	28	277	0	1
102	1	11	16	0	28	277	0	1
102	1	12	2	0	28	277	0	1
102	1	13	4	0	28	277	0	1
102	1	14	15	0	28	277	0	1
102	1	20	13	0	28	277	0	1
103	1	3	29	0	28	277	0	1
103	1	6	39	0	28	277	0	1
103	1	7	38	0	28	277	0	1
103	1	9	36	0	28	277	0	1
103	1	10	37	0	28	277	0	1
103	1	17	27	0	28	277	0	1
103	1	18	30	0	28	277	0	1
103	1	19	28	0	28	277	0	1
104	1	1	3	0	28	277	0	1
104	1	4	42	0	28	277	0	1
