% time	cellId	IMSI	RNTI	sinrLinear
0.039	1	6	39	1.76517e+06
0.041	1	5	1	1.76517e+06
0.042	1	12	2	1.76517e+06
0.043	1	1	3	1.76517e+06
0.044	1	13	4	1.76517e+06
0.046	1	4	42	1.76517e+06
0.047	1	8	43	1.76517e+06
0.048	1	16	44	1.76517e+06
0.049	1	15	45	1.76517e+06
0.053	1	20	13	1.76517e+06
0.054	1	2	14	1.76517e+06
0.055	1	14	15	1.76517e+06
0.056	1	11	16	1.76517e+06
0.067	1	17	27	1.76517e+06
0.068	1	19	28	1.76517e+06
0.069	1	3	29	1.76517e+06
0.07	1	18	30	1.76517e+06
0.076	1	9	36	1.76517e+06
0.077	1	10	37	1.76517e+06
0.078	1	7	38	1.76517e+06
0.079	1	6	39	1.76517e+06
0.081	1	5	1	1.76517e+06
0.082	1	12	2	1.76517e+06
0.083	1	1	3	1.76517e+06
0.084	1	13	4	1.76517e+06
0.086	1	4	42	1.76517e+06
0.087	1	8	43	1.76517e+06
0.088	1	16	44	1.76517e+06
0.089	1	15	45	1.76517e+06
0.093	1	20	13	1.76517e+06
0.094	1	2	14	1.76517e+06
0.095	1	14	15	1.76517e+06
0.096	1	11	16	1.76517e+06
0.107	1	17	27	1.76517e+06
0.108	1	19	28	1.76517e+06
0.109	1	3	29	1.76517e+06
0.11	1	18	30	1.76517e+06
0.116	1	9	36	1.76517e+06
0.117	1	10	37	1.76517e+06
0.118	1	7	38	1.76517e+06
0.119	1	6	39	1.76517e+06
0.121	1	5	1	1.76517e+06
0.122	1	12	2	1.76517e+06
0.123	1	1	3	1.76517e+06
0.124	1	13	4	1.76517e+06
0.126	1	4	42	1.76517e+06
0.127	1	8	43	1.76517e+06
0.128	1	16	44	1.76517e+06
0.129	1	15	45	1.76517e+06
0.133	1	20	13	1.76517e+06
0.134	1	2	14	1.76517e+06
0.135	1	14	15	1.76517e+06
0.136	1	11	16	1.76517e+06
0.147	1	17	27	1.76517e+06
0.148	1	19	28	1.76517e+06
0.149	1	3	29	1.76517e+06
0.15	1	18	30	1.76517e+06
0.156	1	9	36	1.76517e+06
0.157	1	10	37	1.76517e+06
0.158	1	7	38	1.76517e+06
0.159	1	6	39	1.76517e+06
0.161	1	5	1	1.76517e+06
0.162	1	12	2	1.76517e+06
0.163	1	1	3	1.76517e+06
