% time	cellId	IMSI	RNTI	sinrLinear
0.164	1	13	4	1.76517e+06
0.166	1	4	42	1.76517e+06
0.167	1	8	43	1.76517e+06
0.168	1	16	44	1.76517e+06
0.169	1	15	45	1.76517e+06
0.173	1	20	13	1.76517e+06
0.174	1	2	14	1.76517e+06
0.175	1	14	15	1.76517e+06
0.176	1	11	16	1.76517e+06
0.187	1	17	27	1.76517e+06
0.188	1	19	28	1.76517e+06
0.189	1	3	29	1.76517e+06
0.19	1	18	30	1.76517e+06
0.196	1	9	36	1.76517e+06
0.197	1	10	37	1.76517e+06
0.198	1	7	38	1.76517e+06
0.199	1	6	39	1.76517e+06
0.201	1	5	1	1.76517e+06
0.202	1	12	2	1.76517e+06
0.203	1	1	3	1.76517e+06
0.204	1	13	4	1.76517e+06
0.206	1	4	42	1.76517e+06
0.207	1	8	43	1.76517e+06
0.208	1	16	44	1.76517e+06
0.209	1	15	45	1.76517e+06
0.213	1	20	13	1.76517e+06
0.214	1	2	14	1.76517e+06
0.215	1	14	15	1.76517e+06
0.216	1	11	16	1.76517e+06
0.227	1	17	27	1.76517e+06
0.228	1	19	28	1.76517e+06
0.229	1	3	29	1.76517e+06
0.23	1	18	30	1.76517e+06
0.236	1	9	36	1.76517e+06
0.237	1	10	37	1.76517e+06
0.238	1	7	38	1.76517e+06
0.239	1	6	39	1.76517e+06
0.241	1	5	1	1.76517e+06
0.242	1	12	2	1.76517e+06
0.243	1	1	3	1.76517e+06
0.244	1	13	4	1.76517e+06
0.246	1	4	42	1.76517e+06
0.247	1	8	43	1.76517e+06
0.248	1	16	44	1.76517e+06
0.249	1	15	45	1.76517e+06
0.253	1	20	13	1.76517e+06
0.254	1	2	14	1.76517e+06
0.255	1	14	15	1.76517e+06
0.256	1	11	16	1.76517e+06
0.267	1	17	27	1.76517e+06
0.268	1	19	28	1.76517e+06
0.269	1	3	29	1.76517e+06
0.27	1	18	30	1.76517e+06
0.276	1	9	36	1.76517e+06
0.277	1	10	37	1.76517e+06
0.278	1	7	38	1.76517e+06
0.279	1	6	39	1.76517e+06
0.281	1	5	1	1.76517e+06
0.282	1	12	2	1.76517e+06
0.283	1	1	3	1.76517e+06
0.284	1	13	4	1.76517e+06
0.286	1	4	42	1.76517e+06
0.287	1	8	43	1.76517e+06
0.288	1	16	44	1.76517e+06
0.289	1	15	45	1.76517e+06
0.293	1	20	13	1.76517e+06
0.294	1	2	14	1.76517e+06
0.295	1	14	15	1.76517e+06
0.296	1	11	16	1.76517e+06
0.307	1	17	27	1.76517e+06
0.308	1	19	28	1.76517e+06
0.309	1	3	29	1.76517e+06
0.31	1	18	30	1.76517e+06
0.316	1	9	36	1.76517e+06
0.317	1	10	37	1.76517e+06
0.318	1	7	38	1.76517e+06
0.319	1	6	39	1.76517e+06
0.321	1	5	1	1.76517e+06
0.322	1	12	2	1.76517e+06
0.323	1	1	3	1.76517e+06
0.324	1	13	4	1.76517e+06
0.326	1	4	42	1.76517e+06
0.327	1	8	43	1.76517e+06
0.328	1	16	44	1.76517e+06
0.329	1	15	45	1.76517e+06
0.333	1	20	13	1.76517e+06
0.334	1	2	14	1.76517e+06
0.335	1	14	15	1.76517e+06
0.336	1	11	16	1.76517e+06
0.347	1	17	27	1.76517e+06
0.348	1	19	28	1.76517e+06
0.349	1	3	29	1.76517e+06
0.35	1	18	30	1.76517e+06
0.356	1	9	36	1.76517e+06
0.357	1	10	37	1.76517e+06
0.358	1	7	38	1.76517e+06
0.359	1	6	39	1.76517e+06
0.361	1	5	1	1.76517e+06
0.362	1	12	2	1.76517e+06
0.363	1	1	3	1.76517e+06
0.364	1	13	4	1.76517e+06
0.366	1	4	42	1.76517e+06
0.367	1	8	43	1.76517e+06
0.368	1	16	44	1.76517e+06
0.369	1	15	45	1.76517e+06
0.373	1	20	13	1.76517e+06
0.374	1	2	14	1.76517e+06
0.375	1	14	15	1.76517e+06
0.376	1	11	16	1.76517e+06
0.387	1	17	27	1.76517e+06
0.388	1	19	28	1.76517e+06
0.389	1	3	29	1.76517e+06
0.39	1	18	30	1.76517e+06
0.396	1	9	36	1.76517e+06
0.397	1	10	37	1.76517e+06
0.398	1	7	38	1.76517e+06
0.399	1	6	39	1.76517e+06
0.401	1	5	1	1.76517e+06
0.402	1	12	2	1.76517e+06
0.403	1	1	3	1.76517e+06
0.404	1	13	4	1.76517e+06
0.406	1	4	42	1.76517e+06
0.407	1	8	43	1.76517e+06
0.408	1	16	44	1.76517e+06
0.409	1	15	45	1.76517e+06
0.413	1	20	13	1.76517e+06
0.414	1	2	14	1.76517e+06
0.415	1	14	15	1.76517e+06
0.416	1	11	16	1.76517e+06
0.427	1	17	27	1.76517e+06
0.428	1	19	28	1.76517e+06
0.429	1	3	29	1.76517e+06
0.43	1	18	30	1.76517e+06
0.436	1	9	36	1.76517e+06
0.437	1	10	37	1.76517e+06
0.438	1	7	38	1.76517e+06
0.439	1	6	39	1.76517e+06
0.441	1	5	1	1.76517e+06
0.442	1	12	2	1.76517e+06
0.443	1	1	3	1.76517e+06
0.444	1	13	4	1.76517e+06
0.446	1	4	42	1.76517e+06
0.447	1	8	43	1.76517e+06
0.448	1	16	44	1.76517e+06
0.449	1	15	45	1.76517e+06
0.453	1	20	13	1.76517e+06
0.454	1	2	14	1.76517e+06
0.455	1	14	15	1.76517e+06
0.456	1	11	16	1.76517e+06
0.467	1	17	27	1.76517e+06
0.468	1	19	28	1.76517e+06
0.469	1	3	29	1.76517e+06
0.47	1	18	30	1.76517e+06
0.476	1	9	36	1.76517e+06
0.477	1	10	37	1.76517e+06
0.478	1	7	38	1.76517e+06
0.479	1	6	39	1.76517e+06
0.481	1	5	1	1.76517e+06
0.482	1	12	2	1.76517e+06
0.483	1	1	3	1.76517e+06
0.484	1	13	4	1.76517e+06
0.486	1	4	42	1.76517e+06
0.487	1	8	43	1.76517e+06
0.488	1	16	44	1.76517e+06
0.489	1	15	45	1.76517e+06
0.493	1	20	13	1.76517e+06
0.494	1	2	14	1.76517e+06
0.495	1	14	15	1.76517e+06
0.496	1	11	16	1.76517e+06
0.507	1	17	27	1.76517e+06
0.508	1	19	28	1.76517e+06
0.509	1	3	29	1.76517e+06
0.51	1	18	30	1.76517e+06
0.516	1	9	36	1.76517e+06
0.517	1	10	37	1.76517e+06
0.518	1	7	38	1.76517e+06
0.519	1	6	39	1.76517e+06
0.521	1	5	1	1.76517e+06
0.522	1	12	2	1.76517e+06
0.523	1	1	3	1.76517e+06
0.524	1	13	4	1.76517e+06
0.526	1	4	42	1.76517e+06
0.527	1	8	43	1.76517e+06
0.528	1	16	44	1.76517e+06
0.529	1	15	45	1.76517e+06
0.533	1	20	13	1.76517e+06
0.534	1	2	14	1.76517e+06
0.535	1	14	15	1.76517e+06
0.536	1	11	16	1.76517e+06
0.547	1	17	27	1.76517e+06
0.548	1	19	28	1.76517e+06
0.549	1	3	29	1.76517e+06
0.55	1	18	30	1.76517e+06
0.556	1	9	36	1.76517e+06
0.557	1	10	37	1.76517e+06
0.558	1	7	38	1.76517e+06
0.559	1	6	39	1.76517e+06
0.561	1	5	1	1.76517e+06
0.562	1	12	2	1.76517e+06
0.563	1	1	3	1.76517e+06
0.564	1	13	4	1.76517e+06
0.566	1	4	42	1.76517e+06
0.567	1	8	43	1.76517e+06
0.568	1	16	44	1.76517e+06
0.569	1	15	45	1.76517e+06
0.573	1	20	13	1.76517e+06
0.574	1	2	14	1.76517e+06
0.575	1	14	15	1.76517e+06
0.576	1	11	16	1.76517e+06
0.587	1	17	27	1.76517e+06
0.588	1	19	28	1.76517e+06
0.589	1	3	29	1.76517e+06
0.59	1	18	30	1.76517e+06
0.596	1	9	36	1.76517e+06
0.597	1	10	37	1.76517e+06
0.598	1	7	38	1.76517e+06
0.599	1	6	39	1.76517e+06
0.601	1	5	1	1.76517e+06
0.602	1	12	2	1.76517e+06
0.603	1	1	3	1.76517e+06
0.604	1	13	4	1.76517e+06
0.606	1	4	42	1.76517e+06
0.607	1	8	43	1.76517e+06
0.608	1	16	44	1.76517e+06
0.609	1	15	45	1.76517e+06
0.613	1	20	13	1.76517e+06
0.614	1	2	14	1.76517e+06
0.615	1	14	15	1.76517e+06
0.616	1	11	16	1.76517e+06
0.627	1	17	27	1.76517e+06
0.628	1	19	28	1.76517e+06
0.629	1	3	29	1.76517e+06
0.63	1	18	30	1.76517e+06
0.636	1	9	36	1.76517e+06
0.637	1	10	37	1.76517e+06
0.638	1	7	38	1.76517e+06
0.639	1	6	39	1.76517e+06
0.641	1	5	1	1.76517e+06
0.642	1	12	2	1.76517e+06
0.643	1	1	3	1.76517e+06
0.644	1	13	4	1.76517e+06
0.646	1	4	42	1.76517e+06
0.647	1	8	43	1.76517e+06
0.648	1	16	44	1.76517e+06
0.649	1	15	45	1.76517e+06
0.653	1	20	13	1.76517e+06
0.654	1	2	14	1.76517e+06
0.655	1	14	15	1.76517e+06
0.656	1	11	16	1.76517e+06
0.667	1	17	27	1.76517e+06
0.668	1	19	28	1.76517e+06
0.669	1	3	29	1.76517e+06
0.67	1	18	30	1.76517e+06
0.676	1	9	36	1.76517e+06
0.677	1	10	37	1.76517e+06
0.678	1	7	38	1.76517e+06
0.679	1	6	39	1.76517e+06
0.681	1	5	1	1.76517e+06
0.682	1	12	2	1.76517e+06
0.683	1	1	3	1.76517e+06
0.684	1	13	4	1.76517e+06
0.686	1	4	42	1.76517e+06
0.687	1	8	43	1.76517e+06
0.688	1	16	44	1.76517e+06
0.689	1	15	45	1.76517e+06
0.693	1	20	13	1.76517e+06
0.694	1	2	14	1.76517e+06
0.695	1	14	15	1.76517e+06
0.696	1	11	16	1.76517e+06
0.707	1	17	27	1.76517e+06
0.708	1	19	28	1.76517e+06
0.709	1	3	29	1.76517e+06
0.71	1	18	30	1.76517e+06
0.716	1	9	36	1.76517e+06
0.717	1	10	37	1.76517e+06
0.718	1	7	38	1.76517e+06
0.719	1	6	39	1.76517e+06
0.721	1	5	1	1.76517e+06
0.722	1	12	2	1.76517e+06
0.723	1	1	3	1.76517e+06
0.724	1	13	4	1.76517e+06
0.726	1	4	42	1.76517e+06
0.727	1	8	43	1.76517e+06
0.728	1	16	44	1.76517e+06
0.729	1	15	45	1.76517e+06
0.733	1	20	13	1.76517e+06
0.734	1	2	14	1.76517e+06
0.735	1	14	15	1.76517e+06
0.736	1	11	16	1.76517e+06
0.747	1	17	27	1.76517e+06
0.748	1	19	28	1.76517e+06
0.749	1	3	29	1.76517e+06
0.75	1	18	30	1.76517e+06
0.756	1	9	36	1.76517e+06
0.757	1	10	37	1.76517e+06
0.758	1	7	38	1.76517e+06
0.759	1	6	39	1.76517e+06
0.761	1	5	1	1.76517e+06
0.762	1	12	2	1.76517e+06
0.763	1	1	3	1.76517e+06
0.764	1	13	4	1.76517e+06
0.766	1	4	42	1.76517e+06
0.767	1	8	43	1.76517e+06
0.768	1	16	44	1.76517e+06
0.769	1	15	45	1.76517e+06
0.773	1	20	13	1.76517e+06
0.774	1	2	14	1.76517e+06
0.775	1	14	15	1.76517e+06
0.776	1	11	16	1.76517e+06
0.787	1	17	27	1.76517e+06
0.788	1	19	28	1.76517e+06
0.789	1	3	29	1.76517e+06
0.79	1	18	30	1.76517e+06
0.796	1	9	36	1.76517e+06
0.797	1	10	37	1.76517e+06
0.798	1	7	38	1.76517e+06
0.799	1	6	39	1.76517e+06
0.801	1	5	1	1.76517e+06
0.802	1	12	2	1.76517e+06
0.803	1	1	3	1.76517e+06
0.804	1	13	4	1.76517e+06
0.806	1	4	42	1.76517e+06
0.807	1	8	43	1.76517e+06
0.808	1	16	44	1.76517e+06
0.809	1	15	45	1.76517e+06
0.813	1	20	13	1.76517e+06
0.814	1	2	14	1.76517e+06
0.815	1	14	15	1.76517e+06
0.816	1	11	16	1.76517e+06
0.827	1	17	27	1.76517e+06
0.828	1	19	28	1.76517e+06
0.829	1	3	29	1.76517e+06
0.83	1	18	30	1.76517e+06
0.836	1	9	36	1.76517e+06
0.837	1	10	37	1.76517e+06
0.838	1	7	38	1.76517e+06
0.839	1	6	39	1.76517e+06
0.841	1	5	1	1.76517e+06
0.842	1	12	2	1.76517e+06
0.843	1	1	3	1.76517e+06
0.844	1	13	4	1.76517e+06
0.846	1	4	42	1.76517e+06
0.847	1	8	43	1.76517e+06
0.848	1	16	44	1.76517e+06
0.849	1	15	45	1.76517e+06
0.853	1	20	13	1.76517e+06
0.854	1	2	14	1.76517e+06
0.855	1	14	15	1.76517e+06
0.856	1	11	16	1.76517e+06
0.867	1	17	27	1.76517e+06
0.868	1	19	28	1.76517e+06
0.869	1	3	29	1.76517e+06
0.87	1	18	30	1.76517e+06
0.876	1	9	36	1.76517e+06
0.877	1	10	37	1.76517e+06
0.878	1	7	38	1.76517e+06
0.879	1	6	39	1.76517e+06
0.881	1	5	1	1.76517e+06
0.882	1	12	2	1.76517e+06
0.883	1	1	3	1.76517e+06
0.884	1	13	4	1.76517e+06
0.886	1	4	42	1.76517e+06
0.887	1	8	43	1.76517e+06
0.888	1	16	44	1.76517e+06
0.889	1	15	45	1.76517e+06
0.893	1	20	13	1.76517e+06
0.894	1	2	14	1.76517e+06
0.895	1	14	15	1.76517e+06
0.896	1	11	16	1.76517e+06
0.907	1	17	27	1.76517e+06
0.908	1	19	28	1.76517e+06
0.909	1	3	29	1.76517e+06
0.91	1	18	30	1.76517e+06
0.916	1	9	36	1.76517e+06
0.917	1	10	37	1.76517e+06
0.918	1	7	38	1.76517e+06
0.919	1	6	39	1.76517e+06
0.921	1	5	1	1.76517e+06
0.922	1	12	2	1.76517e+06
0.923	1	1	3	1.76517e+06
0.924	1	13	4	1.76517e+06
0.926	1	4	42	1.76517e+06
0.927	1	8	43	1.76517e+06
0.928	1	16	44	1.76517e+06
0.929	1	15	45	1.76517e+06
0.933	1	20	13	1.76517e+06
0.934	1	2	14	1.76517e+06
0.935	1	14	15	1.76517e+06
0.936	1	11	16	1.76517e+06
0.947	1	17	27	1.76517e+06
0.948	1	19	28	1.76517e+06
0.949	1	3	29	1.76517e+06
0.95	1	18	30	1.76517e+06
0.956	1	9	36	1.76517e+06
0.957	1	10	37	1.76517e+06
0.958	1	7	38	1.76517e+06
0.959	1	6	39	1.76517e+06
0.961	1	5	1	1.76517e+06
0.962	1	12	2	1.76517e+06
0.963	1	1	3	1.76517e+06
0.964	1	13	4	1.76517e+06
0.966	1	4	42	1.76517e+06
0.967	1	8	43	1.76517e+06
0.968	1	16	44	1.76517e+06
0.969	1	15	45	1.76517e+06
0.973	1	20	13	1.76517e+06
0.974	1	2	14	1.76517e+06
0.975	1	14	15	1.76517e+06
0.976	1	11	16	1.76517e+06
0.987	1	17	27	1.76517e+06
0.988	1	19	28	1.76517e+06
0.989	1	3	29	1.76517e+06
0.99	1	18	30	1.76517e+06
0.996	1	9	36	1.76517e+06
0.997	1	10	37	1.76517e+06
0.998	1	7	38	1.76517e+06
0.999	1	6	39	1.76517e+06
